Date,Close,Open,High,Low
6/8/20,3232.39,3199.92,3233.13,3196
6/5/20,3193.93,3163.84,3211.72,3163.84
6/4/20,3112.35,3111.56,3128.91,3090.41
6/3/20,3122.87,3098.9,3130.94,3098.9
6/2/20,3080.82,3064.78,3081.07,3051.64
6/1/20,3055.73,3038.78,3062.18,3031.54
5/29/20,3044.31,3025.17,3049.17,2998.61
5/28/20,3029.73,3046.61,3068.67,3023.4
5/27/20,3036.13,3015.65,3036.25,2969.75
5/26/20,2991.77,3004.08,3021.72,2988.17
5/22/20,2955.45,2948.05,2956.76,2933.59
5/21/20,2948.51,2969.95,2978.5,2938.57
5/20/20,2971.61,2953.63,2980.29,2953.63
5/19/20,2922.94,2948.59,2964.21,2922.35
5/18/20,2953.91,2913.86,2968.09,2913.86
5/15/20,2863.7,2829.95,2865.01,2816.78
5/14/20,2852.5,2794.54,2852.8,2766.64
5/13/20,2820,2865.86,2874.14,2793.15
5/12/20,2870.12,2939.5,2945.82,2869.59
5/11/20,2930.32,2915.46,2944.25,2903.44
5/8/20,2929.8,2908.83,2932.16,2902.88
5/7/20,2881.19,2878.26,2901.92,2876.48
5/6/20,2848.42,2883.14,2891.11,2847.65
5/5/20,2868.44,2868.88,2898.23,2863.55
5/4/20,2842.74,2815.01,2844.24,2797.85
5/1/20,2830.71,2869.09,2869.09,2821.61
4/30/20,2912.43,2930.91,2930.91,2892.47
4/29/20,2939.51,2918.46,2954.86,2912.16
4/28/20,2863.39,2909.96,2921.15,2860.71
4/27/20,2878.48,2854.65,2887.72,2852.89
4/24/20,2836.74,2812.64,2842.71,2791.76
4/23/20,2797.8,2810.42,2844.9,2794.26
4/22/20,2799.31,2787.89,2815.1,2775.95
4/21/20,2736.56,2784.81,2785.54,2727.1
4/20/20,2823.16,2845.62,2868.98,2820.43
4/17/20,2874.56,2842.43,2879.22,2830.88
4/16/20,2799.55,2799.34,2806.51,2764.32
4/15/20,2783.36,2795.64,2801.88,2761.54
4/14/20,2846.06,2805.1,2851.85,2805.1
4/13/20,2761.63,2782.46,2782.46,2721.17
4/9/20,2789.82,2776.99,2818.57,2762.36
4/8/20,2749.98,2685,2760.75,2663.3
4/7/20,2659.41,2738.65,2756.89,2657.67
4/6/20,2663.68,2578.28,2676.85,2574.57
4/3/20,2488.65,2514.92,2538.18,2459.96
4/2/20,2526.9,2458.54,2533.22,2455.79
4/1/20,2470.5,2498.08,2522.75,2447.49
3/31/20,2584.59,2614.69,2641.39,2571.15
3/30/20,2626.65,2558.98,2631.8,2545.28
3/27/20,2541.47,2555.87,2615.91,2520.02
3/26/20,2630.07,2501.29,2637.01,2500.72
3/25/20,2475.56,2457.77,2571.42,2407.53
3/24/20,2447.33,2344.44,2449.71,2344.44
3/23/20,2237.4,2290.71,2300.73,2191.86
3/20/20,2304.92,2431.94,2453.01,2295.56
3/19/20,2409.39,2393.48,2466.97,2319.78
3/18/20,2398.1,2436.5,2453.57,2280.52
3/17/20,2529.19,2425.66,2553.93,2367.04
3/16/20,2386.13,2508.59,2562.98,2380.94
3/13/20,2711.02,2569.99,2711.33,2492.37
3/12/20,2480.64,2630.86,2660.95,2478.86
3/11/20,2741.38,2825.6,2825.6,2707.22
3/10/20,2882.23,2813.48,2882.59,2734
3/9/20,2746.56,2863.89,2863.89,2734.43
3/6/20,2972.37,2954.2,2985.93,2901.54
3/5/20,3023.94,3075.7,3083.04,2999.83
3/4/20,3130.12,3045.75,3130.97,3034.38
3/3/20,3003.37,3096.46,3136.72,2976.63
3/2/20,3090.23,2974.28,3090.96,2945.19
2/28/20,2954.22,2916.9,2959.72,2855.84
2/27/20,2978.76,3062.54,3097.07,2977.39
2/26/20,3116.39,3139.9,3182.51,3108.99
2/25/20,3128.21,3238.94,3246.99,3118.77
2/24/20,3225.89,3257.61,3259.81,3214.65
2/21/20,3337.75,3360.5,3360.76,3328.45
2/20/20,3373.23,3380.45,3389.15,3341.02
2/19/20,3386.15,3380.39,3393.52,3378.83
2/18/20,3370.29,3369.04,3375.01,3355.61
2/14/20,3380.16,3378.08,3380.69,3366.15
2/13/20,3373.94,3365.9,3385.09,3360.52
2/12/20,3379.45,3370.5,3381.47,3369.72
2/11/20,3357.75,3365.87,3375.63,3352.72
2/10/20,3352.09,3318.28,3352.26,3317.77
2/7/20,3327.71,3335.54,3341.42,3322.12
2/6/20,3345.78,3344.92,3347.96,3334.39
2/5/20,3334.69,3324.91,3337.58,3313.75
2/4/20,3297.59,3280.61,3306.92,3280.61
2/3/20,3248.92,3235.66,3268.44,3235.66
1/31/20,3225.52,3282.33,3282.33,3214.68
1/30/20,3283.66,3256.45,3285.91,3242.8
1/29/20,3273.4,3289.46,3293.47,3271.89
1/28/20,3276.24,3255.35,3285.78,3253.22
1/27/20,3243.63,3247.16,3258.85,3234.5
1/24/20,3295.47,3333.1,3333.18,3281.53
1/23/20,3325.54,3315.77,3326.88,3301.87
1/22/20,3321.75,3330.02,3337.77,3320.04
1/21/20,3320.79,3321.03,3329.79,3316.61
1/17/20,3329.62,3323.66,3329.88,3318.86
1/16/20,3316.81,3302.97,3317.11,3302.82
1/15/20,3289.29,3282.27,3298.66,3280.69
1/14/20,3283.15,3285.35,3294.25,3277.19
1/13/20,3288.13,3271.13,3288.13,3268.43
1/10/20,3265.35,3281.81,3282.99,3260.86
1/9/20,3274.7,3266.03,3275.58,3263.67
1/8/20,3253.05,3238.59,3267.07,3236.67
1/7/20,3237.18,3241.86,3244.91,3232.43
1/6/20,3246.28,3217.55,3246.84,3214.64
